gender,age
female,57
male,40
male,50
male,46
male,37
female,38
male,30
male,36
male,45
male,49
male,38
male,45
male,45
male,50
female,36
female,38
male,37
male,35
male,40
female,36
male,95
male,39
male,38
male,35
female,35
male,38
male,39
male,36
male,39
female,39
male,40
male,48
male,45
female,47
male,50
male,36
male,49
female,47
male,40
male,46
male,45
male,40
male,36
male,29
male,39
female,30
male,35
male,37
female,38
male,45
male,50
male,37
male,46
male,50
female,37
male,37
male,70
male,50
male,35
male,45
male,39
male,66
male,35
male,36
male,37
female,45
male,57
male,40
female,39
male,60
female,56
male,36
male,37
male,50
male,49
male,40
male,36
male,35
male,38
male,46
male,39
male,37
male,76
female,49
male,36
male,37
male,36
male,40
female,66
male,36
male,46
male,45
male,35
male,46
female,38
male,47
male,68
female,39
male,29
male,37
male,45
male,79
male,35
male,59
male,39
male,68
male,57
male,45
male,45
male,50
male,46
male,39
male,46
male,57
male,19
male,40
female,28
female,35
male,48
male,69
female,40
male,40
male,27
male,39
female,46
male,47
male,38
female,50
male,65
male,49
female,38
male,39
male,48
male,46
male,69
male,55
female,38
male,45
male,37
male,38
female,50
male,46
male,49
male,69
male,47
male,26
female,48
female,38
male,26
female,18
male,46
female,30
male,49
male,37
male,55
male,36
male,37
male,35
male,39
male,35
male,29
female,36
male,60
male,56
male,49
male,37
male,38
male,36
male,27
male,40
male,40
male,49
male,35
female,40
male,38
male,37
male,65
male,58
male,50
male,46
male,35
male,35
male,59
male,36
male,36
male,39
male,38
female,40
female,48
male,48
female,37
male,50
male,36
male,59
female,36
female,48
male,37
male,48
female,40
male,28
male,55
female,40
male,50
male,37
male,56
male,39
female,39
male,48
female,40
male,55
male,49
male,45
male,45
male,48
male,39
male,39
male,48
female,38
female,48
male,38
male,56
female,38
male,55
male,37
male,49
female,38
male,47
male,55
male,37
male,40
male,46
male,37
male,37
male,37
male,39
male,19
male,29
male,38
male,40
male,26
male,30
female,47
female,36
male,45
female,30
male,38
male,36
female,58
male,38
male,46
female,30
male,40
male,50
male,50
male,45
female,45
male,49
female,40
male,39
male,55
male,28
male,35
female,29
male,39
male,38
male,30
male,48
male,45
female,35
female,45
female,37
male,45
male,47
male,37
female,40
male,35
female,38
male,38
male,27
male,35
male,36
male,57
male,48
male,57
male,50
male,47
male,39
male,35
male,38
male,36
female,35
male,48
male,35
female,37
female,18
male,40
female,37
male,56
male,35
male,37
female,37
male,40
male,36
male,50
female,36
female,39
male,37
male,37
female,39
male,30
male,35
female,45
male,37
female,50
female,45
male,49
male,50
male,40
male,49
male,30
female,39
male,47
male,48
male,48
male,57
male,37
male,56
male,45
female,26
male,35
female,55
male,48
female,40
male,35
male,39
male,30
male,58
male,45
female,39
male,50
male,39
male,66
male,49
male,36
male,38
female,58
male,39
male,35
male,47
male,37
male,35
male,37
male,48
male,36
male,35
male,55
male,35
female,66
male,107
male,48
male,37
female,35
male,66
female,37
male,30
male,48
female,40
female,37
male,37
female,46
male,35
female,28
male,35
male,37
male,38
female,46
male,38
female,36
male,38
male,46
male,36
male,48
female,38
male,47
female,26
male,35
male,30
male,47
male,27
male,37
male,56
male,40
male,29
male,47
male,30
male,38
male,38
male,40
male,46
male,68
male,40
male,36
male,57
male,36
male,35
male,38
male,38
male,38
female,35
male,45
female,47
male,35
male,70
male,46
male,40
male,39
male,38
male,35
male,50
male,38
male,20
male,50
male,40
female,35
male,50
male,70
male,49
male,39
male,29
male,48
female,37
male,37
male,29
male,38
male,17
male,58
male,35
male,37
female,37
male,27
male,48
male,40
female,40
male,37
male,29
male,50
male,36
male,47
female,36
male,26
female,37
male,39
male,38
male,36
male,36
male,55
male,55
male,36
male,56
male,49
male,37
male,65
male,37
male,35
male,70
male,30
male,45
male,47
male,47
male,56
male,40
male,38
male,48
male,35
male,38
male,36
male,39
male,56
male,46
male,35
male,35
male,49
male,55
male,35
female,36
male,39
female,37
male,28
male,38
male,56
male,36
male,37
female,55
male,49
male,36
male,45
male,37
female,47
female,47
male,40
female,47
male,39
male,35
female,35
male,35
male,30
male,58
male,65
male,37
male,46
male,30
male,58
male,45
female,36
male,38
male,46
male,36
male,38
male,59
male,49
male,39
male,49
male,28
female,36
male,36
male,35
